startTime :2015-01-21 04:30:45 || endTime :2015-01-21 05:30:45 || tweets/hour :19
startTime :2015-01-21 05:30:45 || endTime :2015-01-21 06:30:45 || tweets/hour :7
startTime :2015-01-21 06:30:45 || endTime :2015-01-21 07:30:45 || tweets/hour :2
startTime :2015-01-21 07:30:45 || endTime :2015-01-21 08:30:45 || tweets/hour :4
startTime :2015-01-21 08:30:45 || endTime :2015-01-21 09:30:45 || tweets/hour :1
startTime :2015-01-21 09:30:45 || endTime :2015-01-21 10:30:45 || tweets/hour :2
startTime :2015-01-21 10:30:45 || endTime :2015-01-21 11:30:45 || tweets/hour :4
startTime :2015-01-21 11:30:45 || endTime :2015-01-21 12:30:45 || tweets/hour :3
startTime :2015-01-21 12:30:45 || endTime :2015-01-21 13:30:45 || tweets/hour :5
startTime :2015-01-21 13:30:45 || endTime :2015-01-21 14:30:45 || tweets/hour :1
startTime :2015-01-21 14:30:45 || endTime :2015-01-21 15:30:45 || tweets/hour :10
startTime :2015-01-21 15:30:45 || endTime :2015-01-21 16:30:45 || tweets/hour :6
startTime :2015-01-21 16:30:45 || endTime :2015-01-21 17:30:45 || tweets/hour :7
startTime :2015-01-21 17:30:45 || endTime :2015-01-21 18:30:45 || tweets/hour :4
startTime :2015-01-21 18:30:45 || endTime :2015-01-21 19:30:45 || tweets/hour :3
startTime :2015-01-21 19:30:45 || endTime :2015-01-21 20:30:45 || tweets/hour :7
startTime :2015-01-21 20:30:45 || endTime :2015-01-21 21:30:45 || tweets/hour :7
startTime :2015-01-21 21:30:45 || endTime :2015-01-21 22:30:45 || tweets/hour :5
startTime :2015-01-21 22:30:45 || endTime :2015-01-21 23:30:45 || tweets/hour :6
startTime :2015-01-21 23:30:45 || endTime :2015-01-22 00:30:45 || tweets/hour :21
startTime :2015-01-22 00:30:45 || endTime :2015-01-22 01:30:45 || tweets/hour :17
startTime :2015-01-22 01:30:45 || endTime :2015-01-22 02:30:45 || tweets/hour :6
startTime :2015-01-22 02:30:45 || endTime :2015-01-22 03:30:45 || tweets/hour :10
startTime :2015-01-22 03:30:45 || endTime :2015-01-22 04:30:45 || tweets/hour :7
startTime :2015-01-22 04:30:45 || endTime :2015-01-22 05:30:45 || tweets/hour :3
startTime :2015-01-22 05:30:45 || endTime :2015-01-22 06:30:45 || tweets/hour :3
startTime :2015-01-22 06:30:45 || endTime :2015-01-22 07:30:45 || tweets/hour :3
startTime :2015-01-22 07:30:45 || endTime :2015-01-22 08:30:45 || tweets/hour :1
startTime :2015-01-22 08:30:45 || endTime :2015-01-22 09:30:45 || tweets/hour :0
startTime :2015-01-22 09:30:45 || endTime :2015-01-22 10:30:45 || tweets/hour :0
startTime :2015-01-22 10:30:45 || endTime :2015-01-22 11:30:45 || tweets/hour :0
startTime :2015-01-22 11:30:45 || endTime :2015-01-22 12:30:45 || tweets/hour :0
startTime :2015-01-22 12:30:45 || endTime :2015-01-22 13:30:45 || tweets/hour :1
startTime :2015-01-22 13:30:45 || endTime :2015-01-22 14:30:45 || tweets/hour :2
startTime :2015-01-22 14:30:45 || endTime :2015-01-22 15:30:45 || tweets/hour :5
