startTime :2015-01-07 21:27:13 || endTime :2015-01-07 22:27:13 || tweets/hour :0
startTime :2015-01-07 22:27:13 || endTime :2015-01-07 23:27:13 || tweets/hour :0
startTime :2015-01-07 23:27:13 || endTime :2015-01-08 00:27:13 || tweets/hour :0
startTime :2015-01-08 00:27:13 || endTime :2015-01-08 01:27:13 || tweets/hour :0
startTime :2015-01-08 01:27:13 || endTime :2015-01-08 02:27:13 || tweets/hour :0
startTime :2015-01-08 02:27:13 || endTime :2015-01-08 03:27:13 || tweets/hour :0
startTime :2015-01-08 03:27:13 || endTime :2015-01-08 04:27:13 || tweets/hour :0
startTime :2015-01-08 04:27:13 || endTime :2015-01-08 05:27:13 || tweets/hour :0
startTime :2015-01-08 05:27:13 || endTime :2015-01-08 06:27:13 || tweets/hour :0
startTime :2015-01-08 06:27:13 || endTime :2015-01-08 07:27:13 || tweets/hour :0
startTime :2015-01-08 07:27:13 || endTime :2015-01-08 08:27:13 || tweets/hour :0
startTime :2015-01-08 08:27:13 || endTime :2015-01-08 09:27:13 || tweets/hour :0
startTime :2015-01-08 09:27:13 || endTime :2015-01-08 10:27:13 || tweets/hour :0
startTime :2015-01-08 10:27:13 || endTime :2015-01-08 11:27:13 || tweets/hour :0
startTime :2015-01-08 11:27:13 || endTime :2015-01-08 12:27:13 || tweets/hour :0
startTime :2015-01-08 12:27:13 || endTime :2015-01-08 13:27:13 || tweets/hour :0
startTime :2015-01-08 13:27:13 || endTime :2015-01-08 14:27:13 || tweets/hour :0
startTime :2015-01-08 14:27:13 || endTime :2015-01-08 15:27:13 || tweets/hour :0
startTime :2015-01-08 15:27:13 || endTime :2015-01-08 16:27:13 || tweets/hour :0
startTime :2015-01-08 16:27:13 || endTime :2015-01-08 17:27:13 || tweets/hour :0
startTime :2015-01-08 17:27:13 || endTime :2015-01-08 18:27:13 || tweets/hour :0
startTime :2015-01-08 18:27:13 || endTime :2015-01-08 19:27:13 || tweets/hour :0
startTime :2015-01-08 19:27:13 || endTime :2015-01-08 20:27:13 || tweets/hour :0
startTime :2015-01-08 20:27:13 || endTime :2015-01-08 21:27:13 || tweets/hour :0
startTime :2015-01-08 21:27:13 || endTime :2015-01-08 22:27:13 || tweets/hour :0
startTime :2015-01-08 22:27:13 || endTime :2015-01-08 23:27:13 || tweets/hour :0
startTime :2015-01-08 23:27:13 || endTime :2015-01-09 00:27:13 || tweets/hour :0
startTime :2015-01-09 00:27:13 || endTime :2015-01-09 01:27:13 || tweets/hour :0
startTime :2015-01-09 01:27:13 || endTime :2015-01-09 02:27:13 || tweets/hour :0
startTime :2015-01-09 02:27:13 || endTime :2015-01-09 03:27:13 || tweets/hour :0
startTime :2015-01-09 03:27:13 || endTime :2015-01-09 04:27:13 || tweets/hour :0
startTime :2015-01-09 04:27:13 || endTime :2015-01-09 05:27:13 || tweets/hour :0
startTime :2015-01-09 05:27:13 || endTime :2015-01-09 06:27:13 || tweets/hour :0
startTime :2015-01-09 06:27:13 || endTime :2015-01-09 07:27:13 || tweets/hour :0
startTime :2015-01-09 07:27:13 || endTime :2015-01-09 08:27:13 || tweets/hour :0
startTime :2015-01-09 08:27:13 || endTime :2015-01-09 09:27:13 || tweets/hour :0
startTime :2015-01-09 09:27:13 || endTime :2015-01-09 10:27:13 || tweets/hour :0
startTime :2015-01-09 10:27:13 || endTime :2015-01-09 11:27:13 || tweets/hour :0
startTime :2015-01-09 11:27:13 || endTime :2015-01-09 12:27:13 || tweets/hour :0
startTime :2015-01-09 12:27:13 || endTime :2015-01-09 13:27:13 || tweets/hour :0
startTime :2015-01-09 13:27:13 || endTime :2015-01-09 14:27:13 || tweets/hour :0
startTime :2015-01-09 14:27:13 || endTime :2015-01-09 15:27:13 || tweets/hour :0
startTime :2015-01-09 15:27:13 || endTime :2015-01-09 16:27:13 || tweets/hour :0
startTime :2015-01-09 16:27:13 || endTime :2015-01-09 17:27:13 || tweets/hour :0
startTime :2015-01-09 17:27:13 || endTime :2015-01-09 18:27:13 || tweets/hour :0
startTime :2015-01-09 18:27:13 || endTime :2015-01-09 19:27:13 || tweets/hour :0
startTime :2015-01-09 19:27:13 || endTime :2015-01-09 20:27:13 || tweets/hour :0
startTime :2015-01-09 20:27:13 || endTime :2015-01-09 21:27:13 || tweets/hour :0
startTime :2015-01-09 21:27:13 || endTime :2015-01-09 22:27:13 || tweets/hour :0
startTime :2015-01-09 22:27:13 || endTime :2015-01-09 23:27:13 || tweets/hour :0
startTime :2015-01-09 23:27:13 || endTime :2015-01-10 00:27:13 || tweets/hour :0
startTime :2015-01-10 00:27:13 || endTime :2015-01-10 01:27:13 || tweets/hour :0
startTime :2015-01-10 01:27:13 || endTime :2015-01-10 02:27:13 || tweets/hour :0
startTime :2015-01-10 02:27:13 || endTime :2015-01-10 03:27:13 || tweets/hour :0
startTime :2015-01-10 03:27:13 || endTime :2015-01-10 04:27:13 || tweets/hour :0
startTime :2015-01-10 04:27:13 || endTime :2015-01-10 05:27:13 || tweets/hour :0
startTime :2015-01-10 05:27:13 || endTime :2015-01-10 06:27:13 || tweets/hour :0
startTime :2015-01-10 06:27:13 || endTime :2015-01-10 07:27:13 || tweets/hour :0
startTime :2015-01-10 07:27:13 || endTime :2015-01-10 08:27:13 || tweets/hour :0
startTime :2015-01-10 08:27:13 || endTime :2015-01-10 09:27:13 || tweets/hour :0
startTime :2015-01-10 09:27:13 || endTime :2015-01-10 10:27:13 || tweets/hour :0
startTime :2015-01-10 10:27:13 || endTime :2015-01-10 11:27:13 || tweets/hour :0
startTime :2015-01-10 11:27:13 || endTime :2015-01-10 12:27:13 || tweets/hour :0
startTime :2015-01-10 12:27:13 || endTime :2015-01-10 13:27:13 || tweets/hour :0
startTime :2015-01-10 13:27:13 || endTime :2015-01-10 14:27:13 || tweets/hour :0
